firstName,lastName,email,company
Benjamin,Franklin,ben.franklin@usa.gov,Founding Fathers Inc
Ben,Franklin,bfranklin@founders.com,Founding Fathers
Robert,Smith,rsmith@email.com,ABC Company
Bob,Smith,bob.smith@abc.com,ABC Co
Timothy,Johnson,tim.j@company.com,Tech Corp
Tim,Johnson,timjohnson@tech.com,Tech Corporation
Sarah,Williams,sarah@email.com,XYZ Ltd
William,Anderson,will@email.com,StartUp
Bill,Anderson,banderson@startup.com,StartUp Inc
Mike,Davis,mdavis@email.com,Global Corp
Michael,Davis,michael.davis@global.com,Global Corporation
